protocol,IP,ID,Time,F_Pck,B_Pck,F_Hash_IP,B_Hash_IP,F_Hash_port,B_Hash_port,F_TCP_S,B_TCP_S,Label22
6,192.225.205.90,861917260,310.194914,80,0,1,16,15,1,80,0,1
6,75.148.119.189,289961878,313.073764,77,3,1,16,16,1,74,0,1
6,14.167.155.8,921768834,313.991105,80,0,1,16,1,1,80,0,1
6,192.225.200.41,278248238,314.854237,79,1,1,16,16,1,79,0,1
6,141.98.36.248,695960793,317.031897,80,0,1,16,16,1,80,0,1
6,185.90.15.6,894986908,318.379714,80,0,1,16,15,1,80,0,1
6,167.89.255.165,120894395,320.4031,80,0,1,16,1,1,80,0,1
6,45.155.133.176,180031196,320.537002,80,0,1,16,16,1,80,0,1
6,45.155.246.52,808319281,320.675997,79,1,1,16,16,1,76,0,1
6,192.225.204.57,363216477,321.510869,78,2,1,16,16,1,78,0,1
6,110.142.235.230,176547894,322.216629,79,1,1,16,1,1,74,0,1
6,45.157.155.79,47353260,323.173639,80,0,1,16,1,1,80,0,1
6,104.22.84.103,533080696,323.926527,80,0,1,16,1,1,78,0,1
6,192.225.218.93,691495745,324.632005,80,0,1,16,16,1,80,0,1
6,175.158.154.221,822955710,325.248132,79,1,1,16,1,1,73,0,1
6,77.132.141.173,116831898,325.802405,80,0,1,16,1,1,80,0,1
6,14.167.155.8,921768834,327.279899,80,0,1,16,1,1,80,0,1
6,178.254.87.126,631545159,327.905205,79,1,1,16,15,1,76,0,1
6,104.67.21.129,1000758655,329.055382,79,1,1,15,2,1,77,0,1
6,192.225.203.24,433843070,330.398127,76,4,1,15,16,1,76,0,1
6,103.134.228.73,741095862,332.371957,79,1,1,16,16,1,79,0,1
6,190.251.140.230,841090343,332.935299,80,0,1,14,16,1,79,0,1
6,64.159.20.28,830274231,334.255721,77,3,1,16,1,1,73,0,1
6,39.158.6.211,581982824,334.895955,80,0,1,16,16,1,80,0,1
6,192.225.200.41,278248238,335.119732,79,1,1,15,15,1,79,0,1
6,192.225.201.78,449919464,335.203603,79,1,1,16,16,1,79,0,1
6,39.158.6.211,581982824,336.878613,80,0,1,16,16,1,80,0,1
6,165.124.3.187,186193821,338.166661,78,2,1,16,1,1,73,0,1
6,39.158.6.211,581982824,338.893506,80,0,1,16,16,1,80,0,1
6,39.158.6.211,581982824,340.894112,80,0,1,16,16,1,80,0,1
6,161.3.10.34,205809838,342.502495,78,2,1,16,16,1,78,0,1
6,39.158.6.211,581982824,342.894932,80,0,1,16,16,1,80,0,1
6,192.225.204.57,363216477,342.94404,78,2,1,16,16,1,78,0,1
6,118.3.51.93,214099832,343.285566,80,0,1,16,15,1,80,0,1
6,104.67.21.129,1000758655,343.417926,80,0,1,16,1,1,80,0,1
6,192.225.220.140,803048311,344.290615,80,0,1,16,16,1,80,0,1
6,39.158.6.211,581982824,344.901462,80,0,1,16,16,1,80,0,1
6,192.225.218.93,691495745,347.341068,79,1,1,15,15,1,79,0,1
6,39.158.6.211,581982824,347.894317,80,0,1,16,16,1,80,0,1
6,14.167.155.8,921768834,349.157669,80,0,1,16,1,1,80,0,1
6,173.143.245.179,402833721,349.244868,78,2,1,16,16,1,78,0,1
6,104.53.220.96,570290334,349.45035,80,0,1,16,16,1,80,0,1
6,201.123.74.167,145008518,349.49269,76,4,1,16,16,1,76,0,1
6,39.158.6.211,581982824,349.894298,80,0,1,16,16,1,80,0,1
6,222.92.102.64,596955912,351.227147,79,1,1,16,1,1,79,0,1
6,223.247.254.13,1050721267,352.102761,78,2,1,16,1,1,74,0,1
6,101.122.167.234,834312522,352.329875,80,0,1,16,1,1,80,0,1
6,39.158.6.211,581982824,352.888278,80,0,1,16,16,1,80,0,1
6,39.158.6.211,581982824,353.89486,80,0,1,16,15,1,80,0,1
6,46.100.135.159,440874733,355.784119,77,3,1,16,1,1,74,0,1
