file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
202006031400.pcap.Mixed_rseed-2222.pcap.142.130.128.211.pcap,44,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.142.130.185.47.pcap,44,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.142.130.61.19.pcap,102,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.146.139.205.49.pcap,51,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.218.235.236.pcap,121,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.218.235.80.pcap,120,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.218.237.190.pcap,133,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.218.237.39.pcap,112,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.218.237.53.pcap,67,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.124.90.pcap,771,137,12,4,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.166.90.pcap,141,355,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.208.147.pcap,77,1,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.96.69.pcap,44,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.6.167.116.pcap,50,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.153.173.22.72.pcap,0,5,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.153.212.235.167.pcap,44,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.153.220.30.228.pcap,64,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.157.111.2.247.pcap,43,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.157.220.254.43.pcap,33,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.157.249.29.169.pcap,534,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.157.38.140.242.pcap,94,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.157.53.21.60.pcap,72,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.159.70.103.152.pcap,94,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.159.70.157.104.pcap,48,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.159.70.173.163.pcap,38,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.159.70.53.240.pcap,58,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.159.93.223.168.pcap,96,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.161.83.31.126.pcap,57,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.162.207.240.218.pcap,2084,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.162.207.242.40.pcap,272,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.162.207.246.189.pcap,256,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.162.207.246.48.pcap,256,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.163.75.111.215.pcap,131,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.164.123.136.177.pcap,219,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.164.132.238.126.pcap,68,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.164.201.25.50.pcap,1,0,1,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.164.52.121.235.pcap,97,1,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.165.224.76.208.pcap,61,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.167.92.76.189.pcap,110,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.171.250.84.129.pcap,45,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.172.37.134.38.pcap,45,1,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.173.59.29.31.pcap,26,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.178.159.89.214.pcap,65,0,0,0,0,0,0,0,0,
