protocol,IP,ID,Time,F_Pck,B_Pck,B_Hash_IP,B_Hash_port,F_TCP_S,B_TCP_S,Label22
6,203.178.135.82,659126397,4.542101,42,38,14,15,0,0,0
6,13.116.170.28,143218946,4.668539,0,80,1,2,0,0,0
6,163.169.103.30,237997597,4.678549,80,0,1,1,0,0,0
6,203.178.132.76,385599130,4.704535,52,28,3,3,0,0,0
6,178.128.198.152,916207983,4.707306,25,55,1,1,0,0,0
6,203.178.135.82,659126397,4.771033,45,35,15,15,0,0,0
6,5.104.164.215,546350386,4.819169,0,80,13,11,0,0,0
6,13.116.170.28,143218946,4.829914,0,80,1,4,0,0,0
6,163.169.103.30,237997597,4.84516,80,0,1,1,0,0,0
6,192.225.202.156,786851504,30.607236,80,0,16,1,80,0,1
6,203.178.132.76,385599130,4.986986,59,21,3,2,0,0,0
6,13.116.170.28,143218946,4.992345,0,80,1,1,0,0,0
6,163.169.103.30,237997597,5.002969,80,0,1,1,0,0,0
6,2001:3E04:37F:6C67:FCFF:F81F:C103:F5CC,389791268,5.033899,69,11,1,1,0,0,0
6,2400:5BF4:B85E:B380:DC2D:4C18:5CDC:2628,342012257,5.033899,11,69,1,1,0,0,0
6,110.142.235.230,176547894,37.598816,78,2,16,1,78,0,1
6,203.178.135.82,659126397,5.102157,47,33,15,13,0,1,0
6,13.116.170.28,143218946,5.1532,0,80,1,4,0,0,0
6,163.169.103.30,237997597,5.166363,80,0,1,1,0,0,0
6,202.235.57.194,216354231,5.220646,80,0,10,1,0,0,0
6,163.169.98.252,487070549,5.230018,41,39,1,1,0,0,0
6,188.190.145.228,640138995,5.233879,39,41,1,1,0,0,0
6,13.116.170.28,143218946,5.342154,0,80,1,1,0,0,0
6,194.218.208.50,432256909,5.353733,0,80,1,16,0,0,0
6,163.169.103.30,237997597,5.355668,80,0,1,1,0,0,0
6,203.178.135.82,659126397,5.358746,47,33,15,14,0,0,0
6,5.104.164.215,546350386,5.417978,0,80,13,15,0,0,0
6,178.128.198.152,916207983,5.466582,8,72,1,1,0,0,0
6,203.178.132.76,385599130,5.475553,57,23,7,9,0,3,0
6,163.169.183.244,673871946,5.482196,1,79,3,2,0,0,0
6,13.116.170.28,143218946,5.494238,0,80,1,4,0,0,0
6,163.169.103.30,237997597,5.507924,80,0,1,1,0,0,0
6,17.243.55.72,551467847,5.519109,80,0,1,1,0,0,0
6,203.178.135.82,659126397,5.641471,42,38,15,14,0,1,0
6,13.116.170.28,143218946,5.670027,0,80,1,2,0,0,0
6,163.169.103.30,237997597,5.682078,80,0,1,1,0,0,0
6,2403:7FF4:EF1:383A:D183:F5BE:F1:25,93606319,5.689489,80,0,1,5,0,0,0
6,2001:3E04:2BD:305E:3469:1D88:D655:CCF9,667765584,5.689489,0,80,1,1,0,0,0
6,203.178.136.32,582033588,5.796694,24,56,14,15,0,7,0
6,13.116.170.28,143218946,5.835637,0,80,1,3,0,0,0
6,163.169.103.30,237997597,5.847137,80,0,1,1,0,0,0
6,203.178.135.82,659126397,5.929059,41,39,15,15,0,0,0
6,14.167.155.8,921768834,37.694183,80,0,16,1,80,0,1
6,175.158.154.221,822955710,39.065923,80,0,16,1,80,0,1
6,192.225.202.156,786851504,42.051423,80,0,16,1,80,0,1
6,13.116.170.28,143218946,6.015299,0,80,1,2,0,0,0
6,163.169.103.30,237997597,6.028989,80,0,1,1,0,0,0
6,5.104.164.215,546350386,6.059004,0,80,14,12,0,0,0
6,203.178.132.76,385599130,6.17819,52,28,9,8,0,3,0
6,13.116.170.28,143218946,6.202191,0,80,1,3,0,0,0
6,163.169.103.30,237997597,6.210934,80,0,1,1,0,0,0
6,203.178.135.82,659126397,6.214904,44,36,15,15,0,0,0
6,192.225.207.28,646584275,44.638383,80,0,16,1,80,0,1
6,13.116.170.28,143218946,6.358049,0,80,1,3,0,0,0
6,163.169.103.30,237997597,6.376381,80,0,1,1,0,0,0
6,203.178.135.82,659126397,6.437221,42,38,14,14,0,0,0
6,178.128.198.152,916207983,6.44627,10,70,1,1,0,0,0
6,45.157.155.79,47353260,44.665445,80,0,16,1,80,0,1
6,163.169.98.252,487070549,6.509117,45,35,1,1,0,0,0
6,188.190.145.228,640138995,6.51044,35,45,1,1,0,0,0
6,13.116.170.28,143218946,6.536277,0,80,1,1,0,0,0
6,163.169.103.30,237997597,6.548783,80,0,1,1,0,0,0
6,5.104.164.215,546350386,6.59797,0,80,14,14,0,0,0
6,89.238.120.244,1051223754,6.636664,54,26,1,1,0,0,0
6,203.178.143.239,925932941,6.6533,38,42,16,9,1,3,0
6,198.38.157.78,530147584,6.665399,63,17,1,1,0,0,0
6,163.169.253.135,401430373,6.665399,17,63,1,1,0,0,0
6,14.167.155.8,921768834,46.871704,80,0,16,1,80,0,1
6,13.116.170.28,143218946,6.709876,0,80,1,4,0,0,0
6,163.169.103.30,237997597,6.722407,80,0,1,1,0,0,0
6,178.254.156.171,1046297972,46.955597,80,0,16,1,74,0,1
6,203.178.135.82,659126397,6.773359,34,46,14,14,0,0,0
6,203.178.132.76,385599130,6.821881,43,37,6,9,0,1,0
6,13.116.170.28,143218946,6.866786,0,80,1,1,0,0,0
6,163.169.103.30,237997597,6.878399,80,0,1,1,0,0,0
6,218.30.48.246,96637073,6.937813,20,60,1,1,0,0,0
6,54.146.166.225,650828490,6.943479,44,36,1,1,0,0,0
6,13.116.170.28,143218946,7.043431,0,80,1,3,0,0,0
6,203.178.135.82,659126397,7.056193,40,40,14,13,0,0,0
6,163.169.103.30,237997597,7.058613,80,0,1,1,0,0,0
6,13.116.170.28,143218946,7.21717,0,80,1,3,0,0,0
6,163.169.103.30,237997597,7.225116,80,0,1,1,0,0,0
6,5.104.164.215,546350386,7.267195,0,80,13,13,0,0,0
6,203.178.135.82,659126397,7.267569,46,34,15,15,0,0,0
6,203.178.132.76,385599130,7.283295,31,49,5,6,0,0,0
6,13.116.170.28,143218946,7.385553,0,80,1,2,0,0,0
6,163.169.103.30,237997597,7.398579,80,0,1,1,0,0,0
6,192.225.205.90,861917260,47.245742,80,0,16,1,80,0,1
6,178.128.198.152,916207983,7.471832,12,68,1,1,0,0,0
6,203.178.132.76,385599130,7.497974,43,37,4,5,0,0,0
6,203.178.135.82,659126397,7.514255,32,48,15,14,0,0,0
6,13.116.170.28,143218946,7.539,0,80,1,2,0,0,0
6,163.169.103.30,237997597,7.551569,80,0,1,1,0,0,0
6,138.68.174.144,284993024,7.559668,80,0,1,1,0,0,0
6,202.235.61.184,398335035,7.672387,80,0,2,1,0,0,0
6,13.35.57.224,637786448,7.672735,0,80,1,1,0,0,0
6,147.76.156.113,1033230859,7.675836,74,6,1,1,0,0,0
6,203.178.132.76,385599130,7.698471,28,52,5,7,0,0,0
6,13.116.170.28,143218946,7.717991,0,80,1,3,0,0,0
6,163.169.103.30,237997597,7.725392,80,0,1,1,0,0,0
6,202.235.60.85,7804284,7.745312,80,0,3,1,0,0,0
6,185.221.109.25,622459543,7.755006,49,31,1,1,0,0,0
6,218.30.48.246,96637073,7.774573,31,49,1,1,0,0,0
