bitC0,bitC1,bitC2,bitC3,bitC4,bitC5,bitC6,bitC7,
1,2,3,4,6,10,14,26,
1,2,4,5,7,9,12,25,
1,2,3,4,5,8,14,19,
1,2,3,4,7,9,12,13,
1,2,3,5,6,7,8,26,
1,2,4,5,6,7,8,27,
1,2,4,6,8,9,12,50,
1,2,3,4,7,8,15,24,
1,2,3,4,5,6,11,14,
1,2,3,5,6,7,9,10,
1,2,3,5,9,10,11,12,
1,3,5,6,9,13,15,25,
1,2,3,4,5,11,16,32,
1,2,5,6,9,13,15,22,
1,2,5,7,12,13,15,20,
1,2,3,4,7,8,10,17,
1,2,4,5,8,10,11,18,
1,2,3,5,8,9,16,19,
1,3,6,7,9,14,17,30,
1,2,3,6,7,9,10,29,
1,2,3,6,7,8,21,33,
1,2,4,9,10,11,19,26,
1,3,4,5,6,8,14,24,
1,2,3,4,5,7,9,15,
1,2,3,5,6,9,15,27,
1,2,4,6,8,10,14,18,
1,3,4,5,7,9,12,45,
1,2,4,5,8,9,13,14,
1,2,4,5,6,9,13,23,
1,2,3,4,6,7,9,16,
1,2,4,5,6,7,11,14,
1,2,3,4,5,6,7,10,
1,2,3,4,5,16,17,20,
1,2,3,4,8,11,23,33,
1,3,4,6,8,9,13,18,
1,2,3,4,8,10,15,20,
1,2,3,4,5,6,7,13,
1,2,3,4,5,6,10,15,
1,2,3,5,8,9,10,11,
1,2,3,4,10,11,12,16,
1,2,3,10,12,14,15,23,
1,2,3,4,5,9,10,31,
1,2,5,6,8,14,21,28,
1,2,3,4,5,8,11,37,
1,2,5,6,8,11,13,25,
1,2,3,4,5,7,11,18,
1,2,4,8,9,12,16,22,
1,2,4,5,7,9,17,23,
1,2,3,4,7,8,10,24,
1,2,3,4,5,12,18,22,
1,3,4,6,7,8,10,15,
1,2,5,7,11,13,22,23,
1,2,3,4,6,8,13,17,
1,2,4,6,7,12,13,24,
1,2,3,5,6,7,11,16,
1,2,4,5,6,7,10,13,
1,2,3,9,13,16,26,31,
1,2,3,6,7,8,22,33,
1,2,4,5,6,9,12,26,
1,2,4,6,9,10,11,20,
1,2,4,5,6,7,14,18,
1,2,3,4,14,17,18,25,
1,2,4,5,7,8,12,18,
1,2,4,5,7,8,25,27,
1,2,3,4,5,8,9,19,
1,2,3,4,5,7,9,34,
1,2,3,4,5,6,10,11,
1,3,4,6,8,15,27,37,
1,2,4,5,7,9,18,24,
1,2,4,5,6,7,25,30,
1,3,4,6,15,20,23,32,
1,4,5,6,7,13,15,56,
1,2,3,8,12,21,22,25,
1,2,3,5,6,8,14,20,
1,2,3,6,16,17,19,22,
1,2,3,4,16,18,24,28,
1,2,3,4,5,9,11,12,
1,2,3,6,7,8,9,15,
1,3,4,6,7,10,15,33,
1,2,3,4,5,12,20,22,
1,2,3,5,8,12,14,16,
1,2,4,7,12,15,20,22,
1,2,3,5,6,8,10,26,
1,2,3,4,6,7,8,10,
1,2,3,4,5,12,22,23,
1,2,3,4,6,9,10,18,
1,2,3,4,5,6,8,11,
1,3,4,5,14,15,18,30,
1,2,3,4,9,15,19,40,
1,2,3,6,7,9,10,19,
1,2,3,6,7,10,15,20,
1,2,3,6,8,9,14,39,
1,2,3,5,7,19,25,52,
1,2,3,6,7,9,13,34,
1,2,3,4,6,8,9,11,
1,3,4,5,6,8,14,16,
1,2,3,6,7,8,9,10,
1,2,3,5,6,17,26,46,
1,2,3,5,6,11,13,22,
1,2,3,5,6,7,10,22,
1,2,5,10,12,13,16,30,
1,2,3,7,10,13,26,27,
1,2,3,4,6,7,8,15,
1,2,3,4,6,7,14,24,
1,2,3,6,7,14,15,21,
1,2,3,5,7,8,12,21,
1,2,3,4,7,8,9,14,
1,2,3,4,7,8,15,17,
1,2,3,4,7,10,11,15,
1,2,3,5,6,8,11,17,
1,2,3,5,6,8,10,23,
1,2,4,9,12,16,17,22,
1,2,3,4,6,7,8,10,
1,2,4,7,8,9,10,13,
1,2,3,4,5,11,12,15,
1,2,3,5,6,7,11,16,
1,2,3,4,8,10,12,33,
1,4,7,8,16,18,21,37,
1,3,4,5,6,7,8,14,
1,2,3,4,5,9,15,22,
1,2,3,5,6,12,13,17,
1,4,5,6,8,9,11,13,
1,2,4,6,7,8,12,26,
1,2,3,4,6,8,13,17,
1,2,5,6,10,12,13,18,
1,2,3,5,6,10,16,20,
1,2,4,7,9,12,17,31,
1,2,3,4,5,8,10,21,
1,2,3,4,6,7,10,12,
1,2,3,4,5,9,11,14,
1,2,3,4,7,8,11,18,
1,3,4,5,6,9,11,16,
1,2,4,6,7,9,11,16,
1,2,3,5,10,13,15,36,
1,2,3,4,6,11,19,26,
1,2,3,4,6,9,11,27,
1,3,4,6,7,8,10,11,
1,2,3,4,5,6,7,10,
1,2,3,4,16,17,18,21,
1,3,4,7,9,12,16,31,
1,2,4,5,6,10,16,30,
1,2,4,5,9,10,14,15,
1,2,3,4,5,10,23,25,
1,2,3,4,9,11,12,20,
1,2,3,4,5,6,10,22,
1,2,3,4,5,6,9,12,
1,3,4,6,11,12,19,27,
1,2,3,4,6,7,13,18,
1,2,3,4,5,14,15,17,
1,2,3,6,8,11,15,19,
1,2,3,7,8,9,14,18,
1,2,3,5,6,14,19,29,
1,2,3,4,8,11,16,17,
1,2,3,6,7,8,10,26,
1,2,3,9,11,12,14,21,
1,2,5,6,7,8,20,24,
1,2,3,6,12,15,17,26,
1,2,3,6,8,12,18,25,
1,2,4,5,12,13,17,20,
1,2,3,4,5,10,12,17,
1,2,4,5,7,8,15,31,
1,2,3,4,5,8,12,19,
1,3,4,5,7,12,14,22,
1,2,3,5,6,9,11,12,
1,2,3,5,6,9,14,23,
1,2,5,6,8,9,17,21,
1,3,4,8,9,10,17,20,
1,2,3,4,5,7,8,27,
1,2,4,5,6,7,8,12,
1,3,4,5,6,7,8,9,
1,2,4,5,6,9,11,14,
1,3,4,5,8,14,17,51,
1,2,3,5,10,11,15,17,
1,2,3,4,5,19,22,38,
1,2,3,4,5,7,10,11,
1,2,3,4,7,10,11,22,
1,2,4,6,10,20,34,45,
1,2,3,5,6,8,9,14,
1,3,4,5,8,9,20,22,
1,2,4,5,8,10,11,20,
1,2,3,8,10,14,17,21,
1,2,4,5,7,13,18,20,
1,2,3,6,7,13,20,31,
1,2,3,4,5,6,8,11,
1,2,3,4,7,8,11,19,
1,2,4,5,6,7,10,16,
1,2,3,6,7,20,26,43,
1,2,4,7,8,10,12,15,
1,2,3,4,5,7,8,11,
1,2,3,5,6,8,10,12,
1,2,3,4,7,11,14,22,
1,2,3,4,7,12,15,32,
1,2,4,5,6,8,11,16,
1,2,3,4,8,9,10,20,
1,2,5,6,7,9,12,21,
1,2,3,4,5,11,13,24,
1,2,3,4,5,9,10,13,
1,2,3,6,9,10,11,16,
1,2,3,7,9,10,11,19,
1,2,5,6,8,9,10,18,
1,2,4,6,7,8,10,15,
1,2,3,5,8,9,12,27,
1,2,3,5,7,14,16,21,
1,2,3,4,7,10,11,24,
