,file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
909,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.171.pcap,33350,0,0,0,0,0,0,0,0
910,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.172.pcap,194136,0,0,0,0,0,0,0,0
911,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.173.pcap,194784,0,0,0,0,0,0,0,0
912,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.174.pcap,194621,0,0,0,0,0,0,0,0
913,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.175.pcap,194202,1,0,0,0,0,0,0,0
920,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.80.139.pcap,747,57,1,0,0,0,0,0,0
977,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.92.222.pcap,86,158,5,2,0,0,0,0,0
1361,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.185.0.65.13.pcap,6647,0,0,0,0,0,0,0,0
1362,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.185.0.65.16.pcap,10350,0,0,0,0,0,0,0,0
1368,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.185.12.25.248.pcap,2008,64,0,0,0,0,0,0,0
1370,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.185.12.31.181.pcap,12416,0,0,0,0,0,0,0,0
1387,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.185.23.225.192.pcap,17191,0,0,0,0,0,0,0,0
1399,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.185.48.172.193.pcap,16112,0,0,0,0,0,0,0,0
1406,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.185.72.26.105.pcap,10786,0,0,0,0,0,0,0,0
1412,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.185.72.27.106.pcap,17505,0,0,0,0,0,0,0,0
1415,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.185.72.27.133.pcap,10981,0,0,0,0,0,0,0,0
1420,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.185.72.27.26.pcap,60466,0,0,0,0,0,0,0,0
1422,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.185.72.27.53.pcap,6422,0,0,0,0,0,0,0,0
1423,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.185.72.27.61.pcap,6234,0,0,0,0,0,0,0,0
1424,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.185.72.27.66.pcap,68222,0,0,0,0,0,0,0,0
