file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.96.113.pcap,24,249,19,3,2,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.96.125.pcap,341,680,17,8,7,1,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.96.127.pcap,15,210,51,3,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.96.22.pcap,15,120,15,3,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.96.27.pcap,194,513,7,0,0,1,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.96.7.pcap,382,177,25,5,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.96.77.pcap,30,189,37,117,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.96.78.pcap,7,233,26,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.97.205.pcap,26,274,19,5,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.97.21.pcap,4,414,30,8,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.97.218.pcap,4,1583,33,3,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.97.238.pcap,80,486,108,12,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.97.240.pcap,3,77,17,2,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.97.43.pcap,9,239,30,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.97.63.pcap,26,484,84,11,1,1,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.97.81.pcap,140,99,11,0,1,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.97.85.pcap,24,337,57,8,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.98.173.pcap,14,206,53,5,1,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.98.23.pcap,35,187,25,13,1,1,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.98.232.pcap,9,280,14,6,2,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.98.61.pcap,115,284,73,10,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.98.95.pcap,7,186,31,1,2,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.98.97.pcap,270,261,28,3,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.157.249.29.169.pcap,534,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.157.38.140.242.pcap,94,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.157.53.21.60.pcap,72,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.159.70.103.152.pcap,94,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.159.93.223.168.pcap,96,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.160.112.128.165.pcap,132,68,10,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.162.207.240.218.pcap,2084,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.162.207.242.40.pcap,272,0,0,0,0,0,0,0,0,
